,Unnamed: 0,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address,geocoded_address,geocoded_country
301,657,The Road to Wellville,T. C. Boyle,Battle Creek,Michigan,The Road to Wellville,"Battle Creek, Michigan","Battle Creek, Calhoun County, Michigan, United States","Michigan, United States","Battle Creek, Calhoun County, Michigan, United States","Battle Creek, Calhoun County, Michigan, United States",42.3192548,-85.1824269,"Battle Creek, Calhoun County, Michigan, United States","Michigan, United States",United States
302,658,Jack Maggs,Peter Carey,London,United Kingdom,Jack Maggs,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
303,659,The Heart of Mid-Lothian,Walter Scott,Edinburgh,Scotland,The Heart of Mid-Lothian,"Edinburgh, Scotland","City of Edinburgh, Scotland, United Kingdom","Scotland, United Kingdom","City of Edinburgh, Scotland, United Kingdom","City of Edinburgh, Scotland, United Kingdom",55.9533456,-3.1883749,"City of Edinburgh, Scotland, United Kingdom","City of Edinburgh, Scotland, United Kingdom",United Kingdom
304,661,Empress Orchid,Anchee Min,Peking,China,Empress Orchid,"Peking, China","Beijing, China",China,"Beijing, Dongcheng District, Beijing, 100010, China","Beijing, Dongcheng District, Beijing, 100010, China",39.9057136,116.3912972,"Beijing, Dongcheng District, Beijing, 100010, China","Beijing, Beijing, China",China
305,662,Darkmans,Nicola Barker,Ashford,UK,Darkmans,"Ashford, UK","Ashford, Kent, England, United Kingdom",United Kingdom,"Ashford, Kent, England, United Kingdom","Ashford, Kent, England, United Kingdom",51.148555,0.8722566,"Ashford, Kent, England, United Kingdom","England, United Kingdom",United Kingdom
306,664,Quo Vadis,Henryk Sienkiewicz,Rome,Roman Empire,Quo Vadis (novel),"Rome, Roman Empire","Rome, Roma Capitale, Lazio, Italy","New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",,"Rome, Roma Capitale, Lazio, Italy",41.8933203,12.4829321,"Rome, Roma Capitale, Lazio, Italy","Rome, Lazio, Italy",Italy
307,665,Journey,James Michener,"Dawson, Yukon",Canada,Journey (novel),"Dawson, Yukon, Canada","Dawson City, Yukon, Y0B 1G0, Canada",Canada,"Dawson City, Yukon, Y0B 1G0, Canada","Dawson City, Yukon, Y0B 1G0, Canada",64.0606605,-139.431695,"Dawson City, Yukon, Y0B 1G0, Canada","Yukon, Canada",Canada
308,666,Footsteps,Pramoedya Ananta Toer,Batavia (today Indonesia),Indonesia,Jejak Langkah,"Batavia (today Indonesia), Indonesia",,Indonesia,,Indonesia,-2.4833826,117.8902853,Indonesia,Indonesia,Indonesia
309,667,The Rotters' Club,Jonathan Coe,Birmingham,United Kingdom,The Rotters' Club (novel),"Birmingham, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",United Kingdom,"Birmingham, West Midlands Combined Authority, England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911,"Birmingham, West Midlands Combined Authority, England, United Kingdom","Birmingham, England, United Kingdom",United Kingdom
310,669,Disgrace,J. M. Coetzee,Cape Town,South Africa,Disgrace,"Cape Town, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",South Africa,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","Cape Town, Western Cape, South Africa",South Africa
311,670,The Battle of Pollocks Crossing,J.L. Carr,Huron,United States,The Battle of Pollocks Crossing,"Huron, United States","Huron County, Ohio, United States",United States,"Huron County, Ohio, United States","Huron County, Ohio, United States",41.1305303,-82.591828,"Huron County, Ohio, United States","Ohio, United States",United States
312,0,"Ducks, Newburyport",Lucy Ellmann,Newburyport,,"Ducks, Newburyport",,"Newburyport, Essex County, Massachusetts, 01950, United States",,,"Newburyport, Essex County, Massachusetts, 01950, United States",42.8132845,-70.8819188,"Newburyport, Essex County, Massachusetts, 01950, United States","Massachusetts, United States",United States
313,20,The Comfort of Strangers,Ian McEwan,Venice,,The Comfort of Strangers,,"Venice, Venezia, Veneto, 30121-30176, Italy",,,"Venice, Venezia, Veneto, 30121-30176, Italy",45.4371908,12.3345898,"Venice, Venezia, Veneto, 30121-30176, Italy","Venice, Veneto, Italy",Italy
314,29,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,Berwick,,The Unlikely Pilgrimage of Harold Fry,,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom",,,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom",55.7692442,-2.0026472,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom","England, United Kingdom",United Kingdom
315,46,If Nobody Speaks of Remarkable Things,Jon McGregor,Bradford,,If Nobody Speaks of Remarkable Things,,"Bradford, West Yorkshire, England, United Kingdom",,,"Bradford, West Yorkshire, England, United Kingdom",53.7944229,-1.7519186,"Bradford, West Yorkshire, England, United Kingdom","Bradford, England, United Kingdom",United Kingdom
316,68,The Birds on the Trees,Nina Bawden,London,,The Birds on the Trees,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
317,90,The Fortune Men,Nadifa Mohamed,Cardiff,,The Fortune Men,,"Cardiff, Wales, CF10 2AF, United Kingdom",,,"Cardiff, Wales, CF10 2AF, United Kingdom",51.4816546,-3.1791934,"Cardiff, Wales, CF10 2AF, United Kingdom","Cardiff, Wales, United Kingdom",United Kingdom
318,95,Nice Work,David Lodge,Rummidge,,Nice Work,,,,,,,,,,
319,117,Breakfast on Pluto,Patrick McCabe,Piccadilly Circus,,Breakfast on Pluto,,"Piccadilly Circus, Regent Street St James's, St. James's, Mayfair, City of Westminster, Greater London, England, SW1Y 4ND, United Kingdom",,,"Piccadilly Circus, Regent Street St James's, St. James's, Mayfair, City of Westminster, Greater London, England, SW1Y 4ND, United Kingdom",51.5097922,-0.1344288363459529,"Piccadilly Circus, Regent Street St James's, St. James's, Mayfair, City of Westminster, Greater London, England, SW1Y 4ND, United Kingdom","City of Westminster, England, United Kingdom",United Kingdom
320,130,Bruno's Dream,Iris Murdoch,London,,Bruno's Dream,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
321,173,I'll Go to Bed at Noon,Gerard Woodward,Palmers Green,,I'll Go to Bed at Noon,,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom",,,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom",51.6222544,-0.1127378,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom","London, England, United Kingdom",United Kingdom
322,198,His Bloody Project: Documents relating to the case of Roderick Macrae,Graeme Macrae Burnet,Culduie,,His Bloody Project,,"Culduie, Highland, Scotland, IV54 8LX, United Kingdom",,,"Culduie, Highland, Scotland, IV54 8LX, United Kingdom",57.3960516,-5.8030235,"Culduie, Highland, Scotland, IV54 8LX, United Kingdom","Scotland, United Kingdom",United Kingdom
323,211,The Children of Dynmouth,William Trevor,Dynmouth,,The Children of Dynmouth,,,,,,,,,,
324,223,Woodstock,Sir Walter Scott,Woodstock,,Woodstock (novel),,"Woodstock, McHenry County, Illinois, 60098, United States",,,"Woodstock, McHenry County, Illinois, 60098, United States",42.3147529,-88.4474302,"Woodstock, McHenry County, Illinois, 60098, United States","Illinois, United States",United States
325,226,An Instance of the Fingerpost,Iain Pears,Oxford,,An Instance of the Fingerpost,,"Oxford, Oxfordshire, England, United Kingdom",,,"Oxford, Oxfordshire, England, United Kingdom",51.7520131,-1.2578499,"Oxford, Oxfordshire, England, United Kingdom","Oxford, England, United Kingdom",United Kingdom
326,249,The Finkler Question,Howard Jacobson,London,,The Finkler Question,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
327,293,On Chesil Beach,Ian McEwan,Dorset,,On Chesil Beach,,"Dorset, England, United Kingdom",,,"Dorset, England, United Kingdom",50.79683685,-2.34473226124306,"Dorset, England, United Kingdom","England, United Kingdom",United Kingdom
328,294,I'm the King of the Castle,Susan Hill,Leydell,,I'm the King of the Castle,,,,,,,,,,
